,AZA,AIRPORT,,PHX
,AZB,AIRPORT,,AZB
,AZD,AIRPORT,,AZD
,AZG,AIRPORT,,AZG
,AZI,AIRPORT,,AUH
,AZL,AIRPORT,,AZL
,AZN,AIRPORT,,AZN
,AZO,AIRPORT,,AZO
,AZP,AIRPORT,,MEX
,AZR,AIRPORT,,AZR
,AZS,AIRPORT,,AZS
,AZT,AIRPORT,,AZT
,AZZ,AIRPORT,,AZZ
,BAA,AIRPORT,,BAA
,BAB,AIRPORT,,MYV
,BAC,AIRPORT,,BAC
,BAD,AIRPORT,,SHV
,BAE,AIRPORT,,BAE
,BAF,AIRPORT,,BAF
,BAG,AIRPORT,,BAG
,BAH,AIRPORT,,BAH
,BAI,AIRPORT,,BAI
,BAJ,AIRPORT,,BAJ
,BAL,AIRPORT,,BAL
,BAM,AIRPORT,,BAM
,BAN,AIRPORT,,BAN
,BAO,AIRPORT,,BAO
,BAP,AIRPORT,,BAP
,BAQ,AIRPORT,,BAQ
,BAR,AIRPORT,,BAR
,BAS,AIRPORT,,BAS
,BAT,AIRPORT,,BAT
,BAU,AIRPORT,,BRI
,BAV,AIRPORT,,BAV
,BAW,AIRPORT,,BAW
,BAX,AIRPORT,,BAX
,BAY,AIRPORT,,BAY
,BAZ,AIRPORT,,BAZ
,BBA,AIRPORT,,BBA
,BBB,AIRPORT,,BBB
,BBC,AIRPORT,,BBC
,BBD,AIRPORT,,BBD
,BBF,AIRPORT,,BBF
,BBG,AIRPORT,,BBG
,BBH,AIRPORT,,BBH
,BBI,AIRPORT,,BBI
,BBJ,AIRPORT,,BBJ
,BBK,AIRPORT,,BBK
,BBM,AIRPORT,,BBM
,BBN,AIRPORT,,BBN
,BBO,AIRPORT,,BBO
,BBP,AIRPORT,,BBP
,BBQ,AIRPORT,,BBQ
,BBR,AIRPORT,,BBR
,BBS,AIRPORT,,BBS
,BBT,AIRPORT,,BBT
,BBU,AIRPORT,,BUH
,BBV,AIRPORT,,BBV
,BBW,AIRPORT,,BBW
,BBX,AIRPORT,,BBX
,BBY,AIRPORT,,BBY
,BBZ,AIRPORT,,BBZ
,BCA,AIRPORT,,BCA
,BCB,AIRPORT,,BCB
,BCC,AIRPORT,,BCC
,BCD,AIRPORT,,BCD
,BCE,AIRPORT,,BCE
,BCF,AIRPORT,,BCF
,BCG,AIRPORT,,BCG
,BCH,AIRPORT,,BCH
,BCI,AIRPORT,,BCI
,BCJ,AIRPORT,,BCJ
,BCK,AIRPORT,,BCK
,BCL,AIRPORT,,BCL
,BCM,AIRPORT,,BCM
,BCN,AIRPORT,,BCN
,BCO,AIRPORT,,BCO
,BCP,AIRPORT,,BCP
,BCQ,AIRPORT,,BCQ
,BCR,AIRPORT,,BCR
,BCS,AIRPORT,,BCS
,BCT,AIRPORT,,BCT
,BCU,AIRPORT,,BCU
,BCV,AIRPORT,,BCV
,BCW,AIRPORT,,BCW
,BCX,AIRPORT,,BCX
,BCY,AIRPORT,,BCY
,BCZ,AIRPORT,,BCZ
,BDA,AIRPORT,,BDA
,BDB,AIRPORT,,BDB
,BDC,AIRPORT,,BDC
,BDD,AIRPORT,,BDD
,BDE,AIRPORT,,BDE
,BDF,AIRPORT,,BDF
,BDG,AIRPORT,,BDG
,BDH,AIRPORT,,BDH
,BDI,AIRPORT,,BDI
,BDJ,AIRPORT,,BDJ
,BDK,AIRPORT,,BDK
,BDL,AIRPORT,,BDL
,BDM,AIRPORT,,BDM
,BDN,AIRPORT,,BDN
,BDO,AIRPORT,,BDO
,BDP,AIRPORT,,BDP
,BDQ,AIRPORT,,BDQ
,BDR,AIRPORT,,BDR
,BDS,AIRPORT,,BDS
,BDT,AIRPORT,,BDT
,BDU,AIRPORT,,BDU
,BDV,AIRPORT,,BDV
,BDW,AIRPORT,,BDW
,BDX,AIRPORT,,BDX
,BDY,AIRPORT,,BDY
,BDZ,AIRPORT,,BDZ
,BEA,AIRPORT,,BEA
,BEB,AIRPORT,,BEB
,BEC,AIRPORT,,ICT
,BED,AIRPORT,,BED
,BEE,AIRPORT,,BEE
,BEF,AIRPORT,,BEF
,BEG,AIRPORT,,BEG
,BEH,AIRPORT,,BEH
,BEI,AIRPORT,,BEI
,BEJ,AIRPORT,,BEJ
,BEK,AIRPORT,,BEK
,BEL,AIRPORT,,BEL
,BEN,AIRPORT,,BEN
,BEO,AIRPORT,,NTL
,BEP,AIRPORT,,BEP
,BEQ,AIRPORT,,BEQ
,BER,AIRPORT,,BER
,BES,AIRPORT,,BES
,BET,AIRPORT,,BET
,BEU,AIRPORT,,BEU
,BEV,AIRPORT,,BEV
,BEW,AIRPORT,,BEW
,BEX,AIRPORT,,BEX
,BEY,AIRPORT,,BEY
,BEZ,AIRPORT,,BEZ
,BFA,AIRPORT,,BFA
,BFB,AIRPORT,,BFB
,BFC,AIRPORT,,BFC
,BFD,AIRPORT,,BFD
,BFE,AIRPORT,,BFE
,BFF,AIRPORT,,BFF
,BFG,AIRPORT,,BFG
,BFH,AIRPORT,,BFH
,BFI,AIRPORT,,SEA
,BFK,AIRPORT,,DEN
,BFL,AIRPORT,,BFL
,BFM,AIRPORT,,MOB
,BFN,AIRPORT,,BFN
,BFO,AIRPORT,,BFO
,BFP,AIRPORT,,BFP
,BFQ,AIRPORT,,BFQ
,BFR,AIRPORT,,BFR
,BFS,AIRPORT,,BFS
,BFT,AIRPORT,,BFT
,BFU,AIRPORT,,BFU
,BFV,AIRPORT,,BFV
,BFW,AIRPORT,,BFW
,BFX,AIRPORT,,BFX
,BGA,AIRPORT,,BGA
,BGB,AIRPORT,,BGB
,BGC,AIRPORT,,BGC
,BGD,AIRPORT,,BGD
,BGE,AIRPORT,,BGE
,BGF,AIRPORT,,BGF
,BGG,AIRPORT,,BGG
,BGH,AIRPORT,,BGH
,BGI,AIRPORT,,BGI
,BGJ,AIRPORT,,BGJ
,BGK,AIRPORT,,BGK
,BGL,AIRPORT,,BGL
,BGM,AIRPORT,,BGM
,BGO,AIRPORT,,BGO
,BGP,AIRPORT,,BGP
,BGQ,AIRPORT,,BGQ
,BGR,AIRPORT,,BGR
,BGS,AIRPORT,,HCA
,BGT,AIRPORT,,BGT
,BGU,AIRPORT,,BGU
,BGV,AIRPORT,,BGV
,BGW,AIRPORT,,BGW
,BGX,AIRPORT,,BGX
,BGY,AIRPORT,,MIL
,BGZ,AIRPORT,,BGZ
,BHA,AIRPORT,,BHA
,BHB,AIRPORT,,BHB
,BHC,AIRPORT,,BHC
,BHD,AIRPORT,,BFS
,BHE,AIRPORT,,BHE
,BHF,AIRPORT,,BHF
,BHG,AIRPORT,,BHG
,BHH,AIRPORT,,BHH
,BHI,AIRPORT,,BHI
,BHJ,AIRPORT,,BHJ
,BHK,AIRPORT,,BHK
,BHL,AIRPORT,,BHL
,BHM,AIRPORT,,BHM
,BHN,AIRPORT,,BHN
,BHO,AIRPORT,,BHO
,BHP,AIRPORT,,BHP
,BHQ,AIRPORT,,BHQ
,BHR,AIRPORT,,BHR
,BHS,AIRPORT,,BHS
,BHT,AIRPORT,,BHT
,BHU,AIRPORT,,BHU
,BHV,AIRPORT,,BHV
,BHW,AIRPORT,,SGI
,BHX,AIRPORT,,BHX
,BHY,AIRPORT,,BHY
,BIA,AIRPORT,,BIA
,BIB,AIRPORT,,BIB
,BIC,AIRPORT,,BIC
,BID,AIRPORT,,BID
,BIE,AIRPORT,,BIE
,BIF,AIRPORT,,ELP
,BIG,AIRPORT,,BIG
,BIH,AIRPORT,,BIH
,BII,AIRPORT,,BII
,BIJ,AIRPORT,,BIJ
,BIK,AIRPORT,,BIK
,BIL,AIRPORT,,BIL
,BIM,AIRPORT,,BIM
,BIN,AIRPORT,,BIN
,BIO,AIRPORT,,BIO
,BIP,AIRPORT,,BIP
,BIQ,AIRPORT,,BIQ
,BIR,AIRPORT,,BIR
,BIS,AIRPORT,,BIS
,BIT,AIRPORT,,BIT
,BIU,AIRPORT,,BIU
,BIV,AIRPORT,,BIV
,BIW,AIRPORT,,BIW
,BIX,AIRPORT,,BIX
,BIY,AIRPORT,,BIY
,BIZ,AIRPORT,,BIZ
,BJA,AIRPORT,,BJA
,BJB,AIRPORT,,BJB
,BJC,AIRPORT,,BJC
,BJD,AIRPORT,,BJD
,BJE,AIRPORT,,BJE
,BJF,AIRPORT,,BJF
,BJG,AIRPORT,,BJG
,BJH,AIRPORT,,BJH
,BJI,AIRPORT,,BJI
,BJJ,AIRPORT,,BJJ
,BJK,AIRPORT,,BJK
,BJL,AIRPORT,,BJL
,BJM,AIRPORT,,BJM
,BJN,AIRPORT,,BJN
,BJO,AIRPORT,,BJO
,BJP,AIRPORT,,BJP
,BJQ,AIRPORT,,BJQ
,BJR,AIRPORT,,BJR
,BJT,AIRPORT,,BJT
,BJU,AIRPORT,,BJU
,BJV,AIRPORT,,BJV
,BJW,AIRPORT,,BJW
,BJX,AIRPORT,,BJX
,BJY,AIRPORT,,BEG
,BJZ,AIRPORT,,BJZ
,BKA,AIRPORT,,MOW
,BKB,AIRPORT,,BKB
,BKC,AIRPORT,,BKC
,BKD,AIRPORT,,BKD
,BKE,AIRPORT,,BKE
,BKF,AIRPORT,,BKF
,BKG,AIRPORT,,BKG
,BKH,AIRPORT,,BKH
,BKI,AIRPORT,,BKI
,BKJ,AIRPORT,,BKJ
,BKK,AIRPORT,,BKK
,BKL,AIRPORT,,CLE
,BKM,AIRPORT,,BKM
,BKO,AIRPORT,,BKO
,BKP,AIRPORT,,BKP
,BKQ,AIRPORT,,BKQ
,BKR,AIRPORT,,BKR
,BKS,AIRPORT,,BKS
,BKT,AIRPORT,,BKT
,BKU,AIRPORT,,BKU
,BKW,AIRPORT,,BKW
,BKX,AIRPORT,,BKX
,BKY,AIRPORT,,BKY
,BKZ,AIRPORT,,BKZ
,BLA,AIRPORT,,BLA
,BLB,AIRPORT,,BLB
,BLC,AIRPORT,,BLC
,BLD,AIRPORT,,LAS
,BLE,AIRPORT,,BLE
,BLF,AIRPORT,,BLF
,BLG,AIRPORT,,BLG
,BLH,AIRPORT,,BLH
,BLI,AIRPORT,,BLI
,BLJ,AIRPORT,,BLJ
,BLK,AIRPORT,,BLK
,BLL,AIRPORT,,BLL
